
2023/04/10 (00:31:14) | ===> btop++ v.1.2.13
2023/04/10 (00:31:14) | ERROR: Stall in Runner thread, restarting!

2024/09/14 (17:22:23) | ===> btop++ v.1.3.2
2024/09/14 (17:22:23) | WARNING: Failed to get disk/partition stats for mount "/mnt/shadoosite" with statvfs error code: 5. Ignoring...

2024/09/15 (01:57:02) | ===> btop++ v.1.3.2
2024/09/15 (01:57:02) | WARNING: Failed to get disk/partition stats for mount "/mnt/shadoosite" with statvfs error code: 5. Ignoring...

2024/10/19 (20:45:11) | ===> btop++ v.1.3.2
2024/10/19 (20:45:11) | WARNING: Failed to get disk/partition stats for mount "/mnt/shadoosite" with statvfs error code: 5. Ignoring...

2024/10/25 (16:30:21) | ===> btop++ v.1.3.2
2024/10/25 (16:30:21) | WARNING: Failed to get disk/partition stats for mount "/mnt/shadoosite" with statvfs error code: 5. Ignoring...

2024/11/11 (03:43:15) | ===> btop++ v.1.3.2
2024/11/11 (03:43:15) | WARNING: Failed to get disk/partition stats for mount "/mnt/shadoosite" with statvfs error code: 5. Ignoring...

2024/11/13 (01:21:12) | ===> btop++ v.1.3.2
2024/11/13 (01:21:12) | WARNING: Failed to get disk/partition stats for mount "/mnt/shadoosite" with statvfs error code: 5. Ignoring...
